lab_subject_id,eng_ws_understood,eng_ws_produced,dataset_name
12,251,6,swingley_aslin_2002
13,193,14,swingley_aslin_2002
14,239,30,swingley_aslin_2002
15,39,10,swingley_aslin_2002
16,161,62,swingley_aslin_2002
17,178,119,swingley_aslin_2002
18,158,88,swingley_aslin_2002
19,116,2,swingley_aslin_2002
21,38,0,swingley_aslin_2002
25,182,25,swingley_aslin_2002
26,149,28,swingley_aslin_2002
35,204,31,swingley_aslin_2002
39,296,3,swingley_aslin_2002
40,196,34,swingley_aslin_2002
42,199,38,swingley_aslin_2002
43,118,10,swingley_aslin_2002
44,162,36,swingley_aslin_2002
45,188,20,swingley_aslin_2002
46,18,0,swingley_aslin_2002
47,103,19,swingley_aslin_2002
48,110,18,swingley_aslin_2002
51,279,1,swingley_aslin_2002
52,166,54,swingley_aslin_2002
54,224,1,swingley_aslin_2002
56,44,4,swingley_aslin_2002
57,187,2,swingley_aslin_2002
58,115,5,swingley_aslin_2002
59,126,28,swingley_aslin_2002
60,35,0,swingley_aslin_2002
63,167,12,swingley_aslin_2002
65,178,3,swingley_aslin_2002
67,37,6,swingley_aslin_2002
68,18,1,swingley_aslin_2002
76,150,17,swingley_aslin_2002
77,95,11,swingley_aslin_2002
78,75,150,swingley_aslin_2002
80,200,14,swingley_aslin_2002
81,264,4,swingley_aslin_2002
83,241,26,swingley_aslin_2002
84,98,10,swingley_aslin_2002
85,244,13,swingley_aslin_2002
87,215,5,swingley_aslin_2002
88,193,56,swingley_aslin_2002
90,65,22,swingley_aslin_2002
91,283,6,swingley_aslin_2002
92,137,31,swingley_aslin_2002
93,75,7,swingley_aslin_2002
96,190,9,swingley_aslin_2002
98,98,15,swingley_aslin_2002
100,111,2,swingley_aslin_2002
